*Vertices 362
534366 "Barack_Obama"
307 "Abraham_Lincoln"
569 "Anthropology"
863 "American_Civil_War"
914 "Author"
2154 "African_American"
3356 "Bill_Clinton"
4396 "Northrop_Grumman_B-2_Spirit"
5211 "Christianity"
5399 "Colorado"
5945 "Chicago_White_Sox"
6310 "Columbia_University"
6357 "Camp_David"
6611 "Chicago_Bears"
6882 "Chrysler"
6886 "Chicago"
7701 "Cocaine"
7930 "Delaware"
8522 "Denver"
9457 "Election"
10819 "Federal_Reserve_System"
11955 "George_H._W._Bush"
12102 "General_Motors"
12655 "Global_Warming"
13270 "Hawaii"
13887 "Honolulu"
14533 "India"
14579 "Indonesia"
14849 "Illinois"
14975 "Ivy_League"
15043 "International_Space_Station"
15992 "Jimmy_Carter"
16134 "Jefferson_Davis"
16263 "Joint_Political_Military_Group"
16275 "Jakarta"
17541 "Lawyer"
17633 "Libya"
18110 "Los_Angeles"
19331 "Moon"
19831 "Margaret_Thatcher"
21133 "NATO"
21211 "National_Football_League"
21217 "Native_Americans_in_the_United_States"
22462 "Osama_Bin_Laden"
22800 "Occidental_College"
22873 "Presidential_Medal_of_Freedom"
23235 "Pakistan"
23338 "Pittsburgh_Steelers"
24093 "Palestinian_National_Authority"
24113 "President_of_the_United_States"
24150 "Prime_Minister_of_the_United_Kingdom"
24467 "Political_Science"
24898 "Prime_Minister_of_Israel"
24899 "President_of_France"
25391 "Russia"
25433 "Ronald_Reagan"
31389 "Times_Square"
31756 "United_States_Congress"
31769 "United_Nations"
31956 "United_Nations_Security_Council"
32005 "University_of_Southern_California"
32070 "Republican_Party_(United_States)"
32212 "United_States_Armed_Forces"
32293 "United_States_Secretary_of_State"
32759 "Vice_President_of_the_United_States"
33057 "White_House"
38076 "Gender"
38188 "United_States_Navy_SEALs"
41963 "Grant_Park_(Chicago)"
42317 "United_Press_International"
43715 "John_McCain"
44004 "United_States_Secretary_of_the_Interior"
44635 "Grammy_Award"
44953 "Fiat"
47125 "Easter_Bunny"
48569 "Shimon_Peres"
49001 "African-American_Civil_Rights_Movement_(1955–1968)"
51153 "Islamabad"
52625 "Arab_League"
53029 "Muammar_Gaddafi"
56120 "Hispanic"
56285 "Disability"
56472 "Benjamin_Netanyahu"
57706 "Springfield,_Illinois"
58838 "Default_(finance)"
72809 "Gross_Domestic_Product"
76762 "Democratic_Republic_of_the_Congo"
82545 "International_Relations"
83392 "Counter-terrorism"
85533 "Electoral_College_(United_States)"
101146 "Mayor"
103191 "Voice_of_America"
114932 "Wichita,_Kansas"
140387 "Abbottabad"
141010 "Toronto_Star"
145422 "Joe_Biden"
151210 "Hu_Jintao"
153041 "Juris_Doctor"
156992 "Bachelor_of_Arts"
158984 "Harvard_Law_School"
163955 "International_Herald_Tribune"
168212 "Ehud_Barak"
182688 "David_Souter"
186833 "Carol_Moseley_Braun"
188359 "John_Paul_Stevens"
195322 "Joint_Chiefs_of_Staff"
206805 "Time_Person_of_the_Year"
211383 "Richard_Lugar"
217513 "Suharto"
230331 "Oval_Office"
232595 "Mahmoud_Abbas"
238487 "Federal_Election_Commission"
239646 "President_of_Russia"
243749 "Multiracial"
245107 "Chicago_Sun-Times"
253375 "HarperCollins"
261703 "Caucus"
278651 "Hyde_Park,_Chicago"
302553 "Iraq_Resolution"
308650 "Hartford_Courant"
318094 "ABC_News"
320247 "Special_Forces_(United_States_Army)"
321645 "Al_Arabiya"
334962 "Peter_Fitzgerald_(politician)"
339186 "Tom_Carper"
343508 "East_Jerusalem"
346703 "Mexico_City_Policy"
356024 "President-elect"
361870 "Truman_State_University"
364022 "Incumbent"
411889 "Bobby_Rush"
412662 "Congressional_Black_Caucus"
430699 "START_I"
432006 "Bloomberg_L.P."
453893 "University_of_Chicago_Law_School"
469644 "Punahou_School"
483086 "Alan_Keyes"
512541 "Kisumu"
525038 "Bernie_Mac"
530869 "Youngstown_State_University"
534133 "Jack_Ryan_(politician)"
552856 "Ovarian_Cancer"
