Authority values
25: 0.0016897
307: 0.015207
308: 0.0123479
324: 0.0163768
334: 0.000415864
586: 0.00950637
593: 0.00690721
624: 0.0146956
658: 0.00496224
662: 0.00625594
689: 0.0429486
698: 0.0363593
736: 0.0105908
737: 0.0442347
738: 0.0283599
742: 0.000175426
752: 0.0108617
775: 0.00811075
795: 0.000545139
800: 0.00742378
808: 0.00486032
848: 0.00283299
849: 0.0115954
852: 0.00963173
856: 0.0979437
864: 0.00602308
887: 0.00118333
890: 0.000177192
894: 0.00761067
897: 0.00252932
898: 0.00112044
904: 0.00371993
909: 0.00889361
911: 0.0148494
914: 0.00594944
924: 0.00362274
984: 0.00506268
1148: 0.00811316
1170: 0.00488164
1187: 0.00295055
1196: 0.000661728
1208: 0.00727016
1212: 0.00201666
1214: 0.0101515
1216: 0.0188232
1217: 0.00711051
1227: 0.000957614
1260: 0.00778615
1336: 0.00267135
1344: 0.00157334
1397: 0.0158489
1400: 0.0168375
1445: 0.00430802
1446: 0.00345791
1449: 0.00220841
1466: 0.00102222
1495: 0.00663583
1520: 0.00137888
1627: 0.00349425
1644: 0.00458051
1701: 0.00216166
1771: 0.00768939
1806: 0.00670824
1814: 0.00964638
1859: 0.0010925
1897: 0.0042001
1905: 0.000205413
1937: 0.00321412
1943: 0.00317213
1944: 0.00535009
1955: 0.0162644
1975: 0.00303662
1980: 0.00733456
1988: 0.0028956
1998: 0.00642286
2053: 0.00168049
2067: 0.00126225
2082: 0.00368762
2117: 0.00112205
2140: 0.0041257
2141: 0.00467596
2234: 0.00714834
2241: 0.000329931
2275: 0.00468395
2321: 0.00201109
2362: 0.000490473
2400: 0.00798459
2422: 0.000551868
2508: 0.00433562
2563: 0.00193925
2569: 0.00035592
2581: 0.00597228
2616: 0.00414882
2760: 0.0140447
2795: 0.00197118
2807: 0.00361093
2815: 0.00317301
2861: 0.012144
2893: 0.000145257
2923: 0.00553501
2963: 0.00299242
2987: 0.0101647
3003: 0.000181907
3079: 0.00982309
3138: 0.0174707
3214: 0.00182851
3226: 0.0083435
3229: 0.00366982
3292: 0.00164272
3295: 0.00574642
3343: 0.0618166
3354: 0.0261689
3356: 0.028482
3364: 0.00812819
3365: 0.00842604
3382: 0.0031395
3383: 0.0746735
3392: 0.0112346
3415: 0.04182
3433: 0.00116542
3454: 0.0282786
3455: 0.0142941
3460: 0.016557
3464: 0.00945389
3469: 0.0085923
3708: 0.0252029
3712: 0.0114
3735: 0.000893681
3736: 0.008759
3742: 0.0423461
3743: 0.000479596
3746: 0.00255503
3747: 0.0165859
3772: 0.00458408
3838: 0.0014795
3921: 0.0372928
3933: 0.00291843
3942: 5.15066e-05
3965: 0.00290554
3970: 0.0045112
3973: 0.00564658
3992: 0.00343015
3993: 0.000747901
4059: 0.00324903
4146: 0.0102842
4157: 0.00446571
4158: 0.00203019
4163: 0.00724979
4179: 0.0106375
4243: 0.0209696
4268: 0.00660334
4290: 0.012629
4339: 0.00976592
4348: 0.00312751
4349: 0.000824842
4356: 0.00694396
4446: 0.00234934
4473: 0.0128522
4484: 0.00802698
4492: 0.0150132
4721: 0.0542212
4739: 0.000976152
4752: 0.0059949
4801: 0.00593025
4887: 0.0162458
4917: 0.00268734
5046: 0.00710086
5134: 0.00679523
5142: 0.00605473
5165: 0.0152484
5188: 0.023955
5213: 0.00790922
5222: 0.047494
5244: 0.00265592
5258: 0.00438359
5264: 0.00583178
5278: 0.0275212
5287: 0.0110294
5321: 0.0453394
5322: 0.024593
5377: 0.00247692
5405: 0.0829717
5407: 0.064444
5447: 0.0131209
5468: 0.00984749
5478: 0.00881091
5488: 0.01358
5489: 0.0441891
5500: 0.00457608
5520: 0.00218799
5541: 0.000957614
5573: 0.0284014
5593: 0.0330754
5643: 0.00782263
5668: 0.00267538
5672: 0.000335265
5680: 0.0164915
5685: 0.00722511
5695: 0.00217225
5702: 0.00877183
5724: 0.00293562
5739: 0.013401
5760: 0.00252925
5771: 0.00348223
5796: 0.00437526
5813: 0.00570254
5865: 0.0154878
5867: 0.0128017
5879: 0.000773675
5882: 0.00839901
5884: 0.00801901
5931: 0.00934748
5945: 0.00339422
5950: 0.00802387
5955: 0.020074
5999: 0.0139633
6017: 0.00473657
6059: 0.000278679
6088: 0.0221778
6095: 0.00296649
6102: 0.00211195
6220: 0.00062839
6250: 0.00225398
6266: 0.0132557
6288: 0.00182719
6293: 0.0138193
6310: 0.0129758
6311: 0.00859677
6321: 0.00833359
6429: 0.0128448
6458: 0.00295439
6522: 0.0348049
6546: 0.0163696
6631: 0.00383942
6653: 0.00860682
6656: 0.00570872
6660: 0.0144486
6690: 0.0101569
6829: 0.0070721
6871: 0.00220484
6882: 0.0028764
6883: 0.00761573
6886: 0.0383453
6945: 0.00102874
6950: 0.00189808
7056: 0.00867955
7129: 0.0045518
7142: 0.0156131
7160: 0.000574051
7172: 0.00103575
7237: 0.00186934
7239: 0.00551003
7294: 0.00357756
7299: 0.0148031
7485: 0.0111927
7593: 0.00502253
7681: 0.00250301
7701: 0.00255617
7742: 0.00859627
7818: 0.00352651
7885: 0.00401611
7925: 0.00245451
7930: 0.00894813
7931: 0.00187323
7955: 0.00628988
7978: 0.00150421
8060: 0.0325669
8072: 0.00144502
8081: 0.00208382
8091: 0.00342655
8103: 0.0091353
8130: 0.00768115
8167: 0.00329827
8193: 0.00535475
8209: 0.0112016
8214: 0.00354986
8242: 0.0123669
8243: 0.0012857
